product_id,product_name,price,category
P875503,Jus de Pomme Artisanal Bio,12.30,divers
P446711,Limonade Artisanale,9.90,divers
P987829,Graines de Courge Grillées,10.80,divers
P558937,Noix de Cajou Bio,16.20,divers
P129045,Amandes Grillées Salées,14.75,divers
P660153,Pistaches d'Iran,22.50,divers
P231261,Mélange de Fruits Secs Bio,18.90,divers
P772378,Olives Noires de Nyons AOP,13.95,divers
P343486,Tapenade d'Olives Noires,13.25,divers
P884594,Anchoïade Provençale,15.50,divers
P455802,Caviar d'Aubergines,12.90,divers
P996919,Houmous Traditionnel,11.80,divers
P567027,Mousse de Canard au Porto,17.30,charcuterie
P679244,Rillettes de Saumon,19.50,charcuterie
P240352,Pâté de Foie de Volaille,14.00,charcuterie
P781469,Magret de Canard Séché,28.70,charcuterie
P352577,Coppa Corse,25.90,charcuterie
P893685,Lonzu Corse,27.50,charcuterie
P464793,Figatelli,18.20,charcuterie
P905819,Jambon de Bayonne IGP,57.00,charcuterie
P576918,Saucisse Sèche de Lyon,21.80,charcuterie
P147026,Andouille de Guémené,19.90,charcuterie
P688134,Boudin Noir aux Oignons,15.50,charcuterie
P259242,Cervelas Lyonnais Pistaché,23.00,charcuterie
P790359,Fromage de Tête Maison,13.80,charcuterie
P361467,Gouda Vieux Affiné,26.50,fromage
P802575,Parmesan Reggiano AOP,34.90,fromage
P473685,Pecorino Romano DOP,29.20,fromage
P914790,Mozzarella di Bufala Campana DOP,24.80,fromage
P585808,Gorgonzola Dolce DOP,27.90,fromage
P156916,Stilton Blue Cheese,31.50,fromage
P697024,Cheddar Affiné,23.70,fromage
P268132,Edam Hollandais,18.50,fromage
P709245,Reblochon Fermier AOP,25.20,fromage
P370355,Ossau-Iraty AOP,28.80,fromage
P811466,Morbier AOP,22.90,fromage
P482574,Salers Tradition AOP,30.50,fromage
P923683,Livarot AOP,24.10,fromage
P594795,Pont-l'Évêque AOP,26.70,fromage
P165803,Époisses AOP,33.20,fromage
P606915,Langres AOP,28.90,fromage
P277025,Chaource AOP,21.50,fromage
P718139,Sainte-Maure-de-Touraine AOP,19.80,fromage
P389256,Valençay AOP,23.40,fromage
P820354,Crottin de Chavignol AOP,17.90,fromage
P491462,Picodon AOP,16.50,fromage
P932579,Pélardon AOP,15.20,fromage
P503687,Banon AOP,18.80,fromage
P174795,Bleu des Causses AOP,24.50,fromage
P615803,Fourme d'Ambert AOP,22.70,fromage
P286911,Bleu de Gex Haut-Jura AOP,26.30,fromage
P727028,Cantal Entre-Deux AOP,20.90,fromage
P398136,Laguiole AOP,31.80,fromage
P839244,Tomme de Savoie IGP,23.50,fromage
P400352,Abondance AOP,27.20,fromage
P941469,Raclette de Savoie IGP,25.80,fromage
P512577,Emmental Français Est-Central IGP,19.90,fromage
P183685,Mont d'Or AOP,35.50,fromage
P624793,Vin Jaune du Jura,78.00,vin
P295801,Côtes du Jura Chardonnay,29.50,vin
P736918,Arbois Pupillin Savagnin,38.20,vin
P307026,Château-Chalon,92.00,vin
P848134,Côtes de Toul Gris,17.80,vin
P419242,Champagne Rosé Brut,98.00,vin
P950359,Crémant d'Alsace Rosé,24.70,vin
P521467,Sancerre Blanc,34.90,vin
P192575,Pouilly-Fumé,32.50,vin
P633683,Vouvray Sec,21.90,vin
P204791,Chinon Rouge,26.80,vin
P745808,Saumur-Champigny,23.20,vin
P316916,Muscadet Sèvre et Maine sur Lie,18.50,vin
P857024,Anjou Villages Rouge,20.70,vin
P428132,Savennières,36.00,vin
P969249,Cahors Malbec,28.30,vin
P530357,Madiran,24.90,vin
P101465,Jurançon Sec,22.50,vin
P642573,Irouléguy Rouge,30.80,vin
P213681,Gaillac Blanc Sec,19.20,vin
P754798,Fronton,17.50,vin
P325806,Côtes de Gascogne Blanc,16.90,vin
P866914,Tavel Rosé,25.50,vin
P437022,Châteauneuf-du-Pape Rouge,68.00,vin
P978139,Gigondas,45.00,vin
P549247,Vacqueyras,39.50,vin
P110355,Côtes du Rhône Blanc,21.20,vin
P651463,Crozes-Hermitage Rouge,37.80,vin
P222571,Saint-Joseph Rouge,42.50,vin
P763688,Condrieu,85.00,vin
P334796,Côte-Rôtie,99.00,vin
P875804,Hermitage Blanc,105.00,vin
P446912,Cornas,72.00,vin
P987029,Saint-Péray,28.90,vin
P558137,Clairette de Die Tradition,20.50,vin
P129245,Vin de Savoie Abymes,18.70,vin
P660353,Roussette de Savoie,24.30,vin
P231461,Crépy,19.90,vin
P772578,Vin de Savoie Chignin-Bergeron,31.20,vin
P343686,Bugey Cerdon Méthode Ancestrale,22.80,vin
P884794,Corbières Rouge,19.50,vin
P455803,Faugères,23.90,vin
P996912,Minervois,21.70,vin
P567028,Saint-Chinian,25.30,vin
P138135,Pic Saint-Loup,27.50,vin
P679243,Terrasses du Larzac,29.80,vin
P240351,Côtes du Roussillon Villages,20.20,vin
P781468,Banyuls Grand Cru,48.00,vin
P352576,Maury Sec,26.50,vin
P893684,Collioure Rouge,28.70,vin
P464792,Muscat de Rivesaltes,24.90,vin
P905809,Bellet,42.00,vin
P576917,Palette,38.50,vin
P147025,Bandol Rouge,45.00,vin
P688133,Cassis Blanc,33.90,vin
P259241,Côtes de Provence Cru Classé,30.50,vin
P790358,Vin de Corse,22.00,vin
P361466,Patrimonio Rouge,36.80,vin
P802574,Ajaccio Blanc,29.20,vin
P473683,Sartène Rouge,34.50,vin
P914799,Muscat du Cap Corse,27.90,vin
P585807,Armagnac XO,75.00,divers
P156915,Cognac VSOP,62.00,divers
P697023,Calvados Pays d'Auge,55.00,divers
P268131,Marc de Bourgogne,48.50,divers
P709248,Kirsch de Fougerolles,51.00,divers
P370357,Mirabelle de Lorraine,49.00,divers
P811464,Poire Williams des Monts du Lyonnais,53.00,divers
P482572,Gentiane d'Aubrac,46.00,divers
P923689,Floc de Gascogne Blanc,19.90,divers
P594797,Pineau des Charentes Blanc,21.50,divers
P165805,Ratafia de Champagne,23.80,divers
P606913,Macvin du Jura,28.20,divers
P277020,Crème de Cassis de Dijon,17.50,divers
P718138,Guignolet Kirsch,18.90,divers
P389246,Chambord Liqueur Royale,26.00,divers
P820355,Grand Marnier Cordon Rouge,32.50,divers
P491463,Cointreau,29.90,divers
P932575,Bénédictine D.O.M.,34.00,divers
P503684,Get 27,24.50,divers
P673922,Chocolat Noir Orange,13.50,confiserie
P185746,Miel de Châtaignier,16.20,divers
P720958,Confiture de Cerises Noires,11.80,confiserie
P354169,Vin Blanc Moelleux Jurançon,27.50,vin
P982034,Pâté de Campagne aux Cèpes,18.90,charcuterie
P416857,Fromage de Brebis Basque,25.70,fromage
P853921,Huile d'Olive AOP Haute-Provence,29.00,divers
P297048,Sel Fou aux Herbes,9.50,divers
P734156,Vinaigre de Cidre Bio,10.80,divers
P561273,Moutarde de Dijon,8.20,divers
P108394,Confit d'Oignons,12.90,divers
P649502,Terrine de Lapin aux Pruneaux,17.50,charcuterie
P280619,Vin Rouge Côtes de Bourg,22.00,vin
P815736,Assortiment de Chocolats Fins,38.00,confiserie
P349852,Pralines Roses de Lyon,14.95,confiserie
P976018,Miel de Tilleul,15.50,divers
P402135,Confiture de Fraises Mara des Bois,12.20,confiserie
P139257,Vin Rosé de Bandol,31.00,vin
P670364,Saucisson Sec à la Truffe,29.50,charcuterie
P205481,Camembert Fermier AOP,20.50,fromage
